image_name,detector_label,class_label,gt_box,pred_box
18_08_19_22_res_PVN_hd_ZAO_10304_4_88470.jpg,dog,0,"[920, 552, 1104, 678]","[907, 417, 1101, 720]"
17_08_19_22_res_PVN_hd_ZAO_10304_4_40942.jpg,dog,0,"[721, 602, 815, 674]","[733, 618, 814, 673]"
16_08_07_11_res_PVN_hd_ZAO_10304_4_123834.jpg,background,0,"[0, 0, 0, 0]","[70, 469, 130, 521]"
15_08_19_22_res_PVN_hd_ZAO_10304_4_146958.jpg,dog,0,"[939, 549, 1089, 642]","[899, 417, 1091, 720]"
15_08_07_11_res_PVN_hd_ZAO_10304_4_60744.jpg,dog,0,"[330, 554, 447, 639]","[331, 553, 446, 638]"
13_08_19_22_res_PVN_hd_ZAO_10304_4_72884.jpg,dog,0,"[935, 574, 1025, 637]","[934, 575, 1024, 637]"
13_08_19_22_res_PVN_hd_ZAO_10304_4_72884.jpg,background,1,"[0, 0, 0, 0]","[60, 430, 155, 472]"
14_08_19_22_res_PVN_hd_ZAO_10304_4_123723.jpg,dog,0,"[161, 617, 240, 680]","[160, 616, 241, 680]"
18_08_19_22_res_PVN_hd_ZAO_10304_4_18353.jpg,dog,0,"[1083, 520, 1193, 602]","[1082, 520, 1191, 602]"
18_08_19_22_res_PVN_hd_ZAO_10304_4_18353.jpg,background,1,"[0, 0, 0, 0]","[1238, 616, 1280, 718]"
15_08_19_22_res_PVN_hd_ZAO_10304_4_34142.jpg,dog,0,"[48, 576, 132, 703]","[47, 576, 131, 704]"
15_08_19_22_res_PVN_hd_ZAO_10304_4_136693.jpg,dog,0,"[1015, 524, 1125, 623]","[1015, 524, 1125, 623]"
13_08_19_22_res_PVN_hd_ZAO_10304_4_143681.jpg,background,0,"[0, 0, 0, 0]","[854, 517, 915, 554]"
15_08_19_22_res_PVN_hd_ZAO_10304_4_63128.jpg,dog,0,"[464, 568, 614, 666]","[464, 566, 611, 672]"
15_08_19_22_res_PVN_hd_ZAO_10304_4_63128.jpg,dog,1,"[464, 568, 614, 666]","[308, 413, 695, 720]"
15_08_19_22_res_PVN_hd_ZAO_10304_4_69942.jpg,dog,1,"[130, 594, 199, 719]","[129, 593, 197, 717]"
15_08_19_22_res_PVN_hd_ZAO_10304_4_69942.jpg,background,0,"[0, 0, 0, 0]","[453, 653, 525, 701]"
18_08_07_11_res_PVN_hd_ZAO_10304_4_13422.jpg,dog,0,"[689, 548, 740, 599]","[688, 548, 739, 599]"
18_08_07_11_res_PVN_hd_ZAO_10304_4_13422.jpg,background,0,"[0, 0, 0, 0]","[436, 688, 494, 718]"
